,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
192361,2018-08-30,FA0165893,JERSEY MIKE'S SUBS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,22816 VANOWEN ST,WEST HILLS,91307-2532,96,A
179308,2018-07-10,FA0024549,MENDOCINO FARMS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,300 S GRAND AVE STE #LP41,LOS ANGELES,90071,95,A
177767,2018-06-28,FA0026725,O TAIPEI CAFE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2430 FULLERTON RD,ROWLAND HEIGHTS,91748,93,A
193198,2018-09-05,FA0013385,FAMILIA MARKET,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,10928 VALLEY MALL,EL MONTE,91731,96,A
159464,2018-04-16,FA0165326,TACOS Y MARISCOS EL PARQUE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1124 W REDONDO BEACH BLVD UNIT B,GARDENA,90247-3555,96,A
179239,2018-07-10,FA0159654,HAPPY BAGELS  N  DONUTS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,9926 LAKEWOOD BLVD,DOWNEY,90240,92,A
198301,2018-09-25,FA0159282,CENTRAL BAKERY/WATER SOURCE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,5106 S CENTRAL AVE S,LOS ANGELES,90011,94,A
187895,2018-08-13,FA0248372,INTERCONTINENTAL LOS ANGELES DOWNTOWN,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,900 WILSHIRE BLVD,LOS ANGELES,90017,91,A
172563,2018-06-07,FA0239305,"MOLES, TAMALES Y ANTOJITOS LA TIA",ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4617 E CESAR E CHAVEZ AVE,LOS ANGELES,90022,91,A
169170,2018-05-23,FA0031143,ROUND TABLE PIZZA,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,4330 REDONDO BEACH BLVD,TORRANCE,90504,91,A
185289,2018-08-01,FA0047730,SHRINE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2999 W 6TH ST BM,LOS ANGELES,90020,96,A
195386,2018-09-13,FA0249529,GUILDHALL,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,3516 W VICTORY BLVD,BURBANK,91505,96,A
192375,2018-08-30,FA0258834,KIMBAP PARADISE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,401 S VERMONT AVE STE 3,LOS ANGELES,90020-1983,90,A
184759,2018-07-31,FA0063431,HILL ST CAFE BURBANK,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,3301 N GLENOAKS BLVD,BURBANK,91504,97,A
161225,2018-04-23,FA0030248,RED DEVIL PIZZA,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,116 W BADILLO ST,COVINA,91723,90,A
195144,2018-09-12,FA0049407,SUBWAY SANDWICHES,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,9228 LAKEWOOD BLVD,DOWNEY,90240,97,A
191313,2018-08-28,FA0013276,CARNEY'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,12601 VENTURA BLVD,STUDIO CITY,91604,95,A
187631,2018-08-09,FA0054077,WABA GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,5933 STATE ST,HUNTINGTON PARK,90255,97,A
168367,2018-05-18,FA0048992,STONEFIRE GRILL,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,6405 FALLBROOK AVE,WEST HILLS,91307,96,A
175542,2018-06-20,FA0018159,ISLA GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,13754 1/2 ROSCOE BLVD,PANORAMA CITY,91402,93,A
173322,2018-06-12,FA0260050,CHUANMEN MEN,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,18797 COLIMA,ROWLAND HEIGHTS,91748,93,A
188841,2018-08-15,FA0070159,SATTDOWN JAMAICAN GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,11320 1/2 VENTURA BLVD,STUDIO CITY,91604,93,A
182986,2018-07-24,FA0026407,KOPAN RAMEN 3,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,19705 E COLIMA RD STE 9,ROWLAND HEIGHTS,91748,97,A
